0,CombatZoneResize,133,251,508,391,TLResume,
0,HeartTeleport,320,376,,,,
0,HeartMode,1,,,,,
0,TLPause,,,,,,
0.2,BoneV,503,286,100,2,300,1
0.23333,BoneV,503,366,20,2,300,0
0,BoneV,503,251,95,2,300,0
0.5,BoneV,503,286,100,2,300,1
0.23333,BoneV,503,366,20,2,300,0
0,BoneV,503,251,95,2,300,0
0.5,BoneV,503,286,100,2,300,1
0.23333,BoneV,503,366,20,2,300,0
0,BoneV,503,251,95,2,300,0
0.5,BoneV,503,286,100,2,300,1
0.23333,BoneV,503,366,20,2,300,0
0,BoneV,503,251,95,2,300,0
0.5,BoneV,503,286,100,2,300,1
0.23333,BoneV,503,366,20,2,300,0
0,BoneV,503,251,95,2,300,0
0.93333,SansSlam,3,,,,,
0,SansBody,handup,,,,,
0.4,SansAnimation,Idle,,,,,
0.5,BoneV,128,261,20,0,300,0
0.5,BoneV,128,261,100,0,300,1
0.33333,BoneV,128,261,20,0,300,0
0,BoneV,128,301,90,0,300,0
0.5,BoneV,128,261,100,0,300,1
0.33333,BoneV,128,261,20,0,300,0
0,BoneV,128,301,90,0,300,0
0.5,BoneV,128,261,100,0,300,1
0.33333,BoneV,128,261,20,0,300,0
0,BoneV,128,301,90,0,300,0
0.5,BoneV,128,261,100,0,300,1
0.33333,BoneV,128,261,20,0,300,0
0,BoneV,128,301,90,0,300,0
0.5,BoneV,128,261,100,0,300,1
0.33333,BoneV,128,261,20,0,300,0
0,BoneV,128,301,90,0,300,0
0.5,BoneV,128,261,100,0,300,1
0.33333,BoneV,128,261,20,0,300,0
0,BoneV,128,301,90,0,300,0
0.5,BoneV,128,261,100,0,300,1
0.33333,BoneV,128,261,20,0,300,0
0,BoneV,128,301,90,0,300,0
1.66666,EndAttack,,,,,,
